,playerID,birthYear,birthMonth,birthDay,nameFirst,nameLast
0,aardsda01,1981.0,12.0,27.0,David,Aardsma
1,aaronha01,1934.0,2.0,5.0,Hank,Aaron
2,aaronto01,1939.0,8.0,5.0,Tommie,Aaron
3,aasedo01,1954.0,9.0,8.0,Don,Aase
4,abadan01,1972.0,8.0,25.0,Andy,Abad
5,abadfe01,1985.0,12.0,17.0,Fernando,Abad
6,abadijo01,1854.0,11.0,4.0,John,Abadie
7,abbated01,1877.0,4.0,15.0,Ed,Abbaticchio
8,abbeybe01,1869.0,11.0,11.0,Bert,Abbey
9,abbeych01,1866.0,10.0,14.0,Charlie,Abbey
10,abbotda01,1862.0,3.0,16.0,Dan,Abbott
11,abbotfr01,1874.0,10.0,22.0,Fred,Abbott
12,abbotgl01,1951.0,2.0,16.0,Glenn,Abbott
13,abbotje01,1972.0,8.0,17.0,Jeff,Abbott
14,abbotji01,1967.0,9.0,19.0,Jim,Abbott
15,abbotku01,1969.0,6.0,2.0,Kurt,Abbott
16,abbotky01,1968.0,2.0,18.0,Kyle,Abbott
17,abbotod01,1888.0,9.0,5.0,Ody,Abbott
18,abbotpa01,1967.0,9.0,15.0,Paul,Abbott
19,aberal01,1927.0,7.0,31.0,Al,Aber
20,abercda01,1850.0,1.0,2.0,Frank,Abercrombie
21,abercre01,1980.0,7.0,15.0,Reggie,Abercrombie
22,abernbi01,1929.0,1.0,30.0,Bill,Abernathie
23,abernbr01,1977.0,9.0,23.0,Brent,Abernathy
24,abernte01,1921.0,10.0,30.0,Ted,Abernathy
25,abernte02,1933.0,3.0,6.0,Ted,Abernathy
26,abernwo01,1915.0,2.0,1.0,Woody,Abernathy
27,aberscl01,1921.0,8.0,28.0,Cliff,Aberson
28,ablesha01,1883.0,10.0,4.0,Harry,Ables
29,abnersh01,1966.0,6.0,17.0,Shawn,Abner
30,abramca01,1924.0,3.0,2.0,Cal,Abrams
31,abramge01,1899.0,11.0,9.0,George,Abrams
32,abregjo01,1962.0,7.0,4.0,Johnny,Abrego
33,abreubo01,1974.0,3.0,11.0,Bobby,Abreu
34,abreujo01,1913.0,5.0,24.0,Joe,Abreu
35,abreujo02,1987.0,1.0,29.0,Jose,Abreu
36,abreuju01,1985.0,4.0,8.0,Juan,Abreu
37,abreuto01,1984.0,11.0,13.0,Tony,Abreu
38,abreuwi01,1977.0,4.0,5.0,Winston,Abreu
39,abstebi01,1883.0,2.0,2.0,Bill,Abstein
40,accarje01,1981.0,12.0,18.0,Jeremy,Accardo
41,aceveal01,1982.0,12.0,8.0,Alfredo,Aceves
42,acevejo01,1977.0,12.0,18.0,Jose,Acevedo
43,aceveju01,1970.0,5.0,5.0,Juan,Acevedo
44,achteaj01,1988.0,8.0,27.0,A. J.,Achter
45,ackerji01,1958.0,9.0,24.0,Jim,Acker
46,ackerto01,1930.0,3.0,7.0,Tom,Acker
47,ackledu01,1988.0,2.0,26.0,Dustin,Ackley
48,acklefr01,1937.0,4.0,10.0,Fritz,Ackley
49,acostcy01,1946.0,11.0,22.0,Cy,Acosta
50,acosted01,1944.0,3.0,9.0,Ed,Acosta
51,acostjo01,1891.0,3.0,4.0,Jose,Acosta
52,acostma01,1981.0,5.0,1.0,Manny,Acosta
53,acostme01,1896.0,5.0,19.0,Merito,Acosta
